Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,TRAINING ON BERMUDA,對百慕大的培訓,การฝึกเบอร์มิวดา,TẬP HUẤN TRÊN BERMUDA,Pelatihan tentang Bermuda,Treinamento sobre Bermuda,Entrenamiento en Bermudas,,,,,,,,,,
GAME_DESCRIPTION,SHARPEN YOUR SKILL ON BERMUDA,提高您在百慕大的技能,ฝึกฝนทักษะของคุณ,CẢI THIỆN KĨ NĂNG TRÊN BERMUDA,Pertajam keahlian Anda di Bermuda,Afie sua habilidade nas Bermudas,Afecta tu habilidad en Bermudas,,,,,,,,,,
MATCH_PLACEMENT,Match placement,比賽放置,จับคู่ตำแหน่ง,Xếp hạng,Pencocokan penempatan,Colocação de correspondência,Colocación de partidos,Матч размещение,Placement de correspondance,Übereinstimmung der Platzierung,Maç Yerleştirme,मैच प्लेसमेंट,Plasarea meciului,وضع المباراة,ပွဲစဉ်နေရာချထား,میچ پلیسمنٹ,ম্যাচ প্লেসমেন্ট
K/D_RATIO,K/D RATIO,K/D比,อัตราส่วน k/d,TỈ LỆ K/D,Rasio k/d,Relação k/d,Relación k/d,Соотношение,Ratio k / d,K/D -Verhältnis,K/D oranı,K/d अनुपात,Raport k/d,نسبة K/D,k / d အချိုးအစား,K/D تناسب,কে/ডি অনুপাত
KD_RATION_N,K/D ratio,K/D比,อัตราส่วน k/d,Tỉ lệ K/D,Rasio k/d,Relação k/d,Relación k/d,Соотношение,Ratio k / d,K/D -Verhältnis,K/D oranı,K/d अनुपात,Raport k/d,نسبة K/D,k / d အချိုးအစား,K/D تناسب,কে/ডি অনুপাত
K/D,K/D,k/d,K/D,K/D,K/d,K/d,K/D,К/д,K / d,K/d,K/D,K/D,K/D.,ك/د,k / d,k/d,কে/ডি
TOTAL_DAMAGE,TOTAL DAMAGE,總損壞,ความเสียหายทั้งหมด,TỔNG SÁT THƯƠNG,Kerusakan total,Dano total,DAÑO TOTAL,Общий ущерб,Dommage total,TOTALSCHADEN,TOPLAM HASAR,कुल क्षति,DAUNA TOTALA,الضرر الكلي,စုစုပေါင်းပျက်စီးဆုံးရှုံးမှု,کل نقصان,মোট ক্ষতি
TOTAL_DAMAGE_N,Total damage,總損壞,ความเสียหายทั้งหมด,Tổng sát thương,Kerusakan total,Dano total,Daño total,Общий ущерб,Dommage total,Totalschaden,Toplam hasar,कुल क्षति,Dauna totala,الضرر الكلي,စုစုပေါင်းပျက်စီးဆုံးရှုံးမှု,کل نقصان,মোট ক্ষতি
DAMAGE,Damage,損害,ความเสียหาย,Sát thương,Kerusakan,Dano,Daño,Повреждать,Dommage,Schaden,Zarar,हानि,Deteriora,ضرر,ပျက်စီးဆုံးရှုံးမှု,نقصان,ক্ষতি
TOTAL_HEADSHOTS,TOTAL HEADSHOTS,總爆頭,ภาพรวมทั้งหมด,TỔNG HEADSHOTS,Total headshots,Total de tiro na cabeça,Total de disparos a la cabeza,Всего выстрелов в голову,Total des tirs,Totale Kopfschüsse,Toplam Headshots,कुल हेडशॉट्स,Total lovituri de cap,مجموع الرأس,စုစုပေါင်းအကြီးအကဲများ,کل ہیڈ شاٹس,মোট হেডশট
TOTAL_HEADSHOTS_N,Total headshots,總爆頭,ภาพรวมทั้งหมด,Tổng headshots,Total headshots,Total de tiro na cabeça,Total de disparos a la cabeza,Всего выстрелов в голову,Total des tirs,Totale Kopfschüsse,Toplam Headshots,कुल हेडशॉट्स,Total lovituri de cap,مجموع الرأس,စုစုပေါင်းအကြီးအကဲများ,کل ہیڈ شاٹس,মোট হেডশট
HEADSHOTS,Headshots,頭像,ภาพหัว,Headshots,Headshots,Tiro na cabeça,Disparos a la cabeza,Выстрелы в голову,Tirs à la tête,Kopfschüsse,Kafa vuruşları,हेडशॉट,Capturi de cap,headshots,ခေါင်းဆောင်မှု,ہیڈ شاٹس,হেডশটস
TOTAL_ELIM,TOTAL ELIMINATIONS,總消除,การกำจัดทั้งหมด,TỔNG HẠ GỤC,Total eliminasi,Eliminações totais,Eliminaciones totales,Общее количество исключений,Éliminations totales,Totale Eliminierungen,Toplam elemeler,कुल उन्मूलन,Eliminări totale,إجمالي الإقصاء,စုစုပေါင်းဖယ်ရှားရေး,کل خاتمے,মোট নির্মূল
TOTAL_ELIM_N,Total eliminations,總消除,การกำจัดทั้งหมด,Tổng hạ gục,Total eliminasi,Eliminações totais,Eliminaciones totales,Общее количество ликвидации,Éliminations totales,Totale Eliminierungen,Toplam elemeler,कुल उन्मूलन,Eliminări totale,إجمالي الإقصاء,စုစုပေါင်းဖယ်ရှားရေး,کل خاتمے,মোট নির্মূল
ELIM,Eliminations,消除,การกำจัด,Hạ gục,Eliminasi,Eliminações,Eliminaciones,Устранения,Éliminations,Eliminierungen,Eleme,एलिमिनेशन,Eliminări,الإقصاء,ဖယ်ရှားရေး,خاتمے,নির্মূল
KILL_STREAK,{0} KILL STREAK,{0}殺死條紋,{0} Kill Streak,{0} CHUỖI HẠ GỤC,{0} bunuh streak,{0} Kill Streak,{0} matar racha,{0} storeck,{0} Kill Streak,{0} Tötestreifen,{0} Seri Öldür,{0} किल स्ट्रीक,{0} Kill Streak,{0} اقتل سلسلة,{0} သတ်ပစ်,{0} مارٹ اسٹریک,{0} মেরে ফেলুন
SHOP,SHOP,店鋪,ร้านค้า,CỬA HÀNG,TOKO,COMPRAR,COMERCIO,МАГАЗИН,BOUTIQUE,GESCHÄFT,MAĞAZA,दुकान,MAGAZIN,محل,ဆိုင်,دکان,দোকান
LAST_ROUND,LAST ROUND,最後一輪,รอบสุดท้าย,VÒNG TRƯỚC,RONDE TERAKHIR,ÚLTIMA RODADA,ÚLTIMA RONDA,Последний раунд,DERNIER TOUR,LETZTE RUNDE,SON TUR,आखिरी दौर,ULTIMA RUNDA,الجولة الأخيرة,နောက်ဆုံးပတ်ပတ်လည်,آخری دور,শেষ পর্ব
HIGH_RECORD,HIGH RECORD,高記錄,สถิติสูง,KỈ LỤC,Rekor Tinggi,Alto registro,Récord,Высокая запись,Record élevé,Hohe Aufzeichnung,Yüksek kayıt,उच्च अभिलेख,Record înalt,سجل مرتفع,မြင့်သောစံ,اعلی ریکارڈ,উচ্চ রেকর্ড
HEADSHOTS_RATE,Headshots Rate,雷電率,อัตรา headshots,Tỉ lệ headshots,Tingkat headshots,Taxa de tiro na cabeça,Tasa de disparos en la cabeza,Выстрелы в голову,Taux de tirs à la tête,Kopfschüsse,HeadShots oranı,हेडशॉट्स दर,Rata de lovituri de cap,معدلات headshots,ခေါင်းကိုက်နှုန်း,ہیڈ شاٹس کی شرح,হেডশট রেট
SURVIVAL_TIME,Survival Time,生存時間,เวลารอดชีวิต,Thời gian sông sót,Waktu bertahan hidup,Tempo de sobrevivência,Tiempo de supervivencia,Время выживания,Temps de survie,Überlebenszeit,Hayatta kalma süresi,उत्तरजीविता काल,Timp de supraviețuire,وقت البقاء على قيد الحياة,အသက်ရှင်ခြင်းအချိန်,بقا کا وقت,বেঁচে থাকার সময়
TOTAL_SURVIVAL,Total survival time,總生存時間,เวลารอดชีวิตทั้งหมด,Tổng thời gian sống sót,Total waktu bertahan hidup,Tempo total de sobrevivência,Tiempo de supervivencia total,Общее время выживания,Temps de survie total,Totale Überlebenszeit,Toplam Hayatta Kalma Süresi,कुल उत्तरजीविता समय,Timp total de supraviețuire,وقت البقاء على قيد الحياة,စုစုပေါင်းရှင်သန်မှုအချိန်,بقا کا کل وقت,মোট বেঁচে থাকার সময়
